id,ans
0,0
1,0
2,0
3,2
4,5
5,2
6,1
7,2
8,5
9,4
10,0
11,0
12,3
13,5
14,0
15,5
16,3
17,1
18,5
19,2
20,0
21,5
22,0
23,5
24,4
25,1
26,2
27,4
28,1
29,2
30,4
31,1
32,5
33,4
34,0
35,0
36,2
37,5
38,2
39,1
40,3
41,5
42,1
43,5
44,2
45,1
46,1
47,5
48,5
49,0
50,0
51,0
52,1
53,2
54,3
55,1
56,2
57,3
58,4
59,0
60,3
61,4
62,3
63,2
64,1
65,4
66,4
67,5
68,2
69,3
70,0
71,4
72,5
73,5
74,3
75,4
76,1
77,2
78,5
79,5
80,3
81,5
82,3
83,3
84,4
85,0
86,5
87,0
88,0
89,4
90,5
91,2
92,4
93,0
94,4
95,4
96,1
97,5
98,0
99,5
100,0
101,3
102,4
103,3
104,5
105,4
106,3
107,1
108,3
109,3
110,2
111,2
112,4
113,3
114,5
115,3
116,5
117,2
118,3
119,3
120,3
121,0
122,3
123,0
124,1
125,1
126,5
127,5
128,5
129,5
130,1
131,2
132,2
133,2
134,3
135,1
136,2
137,5
138,4
139,3
140,2
141,1
142,1
143,5
144,0
145,0
146,3
147,0
148,2
149,2
150,1
151,4
152,5
153,3
154,4
155,0
156,0
157,2
158,3
159,0
160,4
161,0
162,0
163,2
164,3
165,2
166,1
167,2
168,3
169,3
170,0
171,0
172,2
173,1
174,4
175,0
176,2
177,0
178,5
179,0
180,3
181,0
182,4
183,2
184,5
185,5
186,2
187,2
188,2
189,0
190,0
191,3
192,0
193,0
194,1
195,2
196,1
197,2
198,0
199,0
200,4
201,0
202,4
203,1
204,2
205,4
206,0
207,5
208,5
209,3
210,5
211,2
212,0
213,4
214,4
215,0
216,1
217,2
218,0
219,2
220,0
221,4
222,1
223,0
224,5
225,5
226,4
227,0
228,5
229,4
230,3
231,0
232,3
233,4
234,1
235,4
236,5
237,1
238,1
239,0
240,1
241,4
242,4
243,4
244,3
245,2
246,2
247,2
248,0
249,5
250,4
251,0
252,5
253,3
254,3
255,2
256,0
257,2
258,3
259,0
260,0
261,1
262,4
263,0
264,2
265,0
266,3
267,2
268,2
269,3
270,3
271,5
272,4
273,5
274,4
275,0
276,1
277,4
278,0
279,0
280,4
281,2
282,3
283,2
284,0
285,2
286,0
287,0
288,1
289,3
290,5
291,2
292,4
293,1
294,3
295,3
296,3
297,1
298,4
299,2
300,0
301,0
302,4
303,0
304,2
305,1
306,0
307,4
308,1
309,0
310,2
311,1
312,0
313,5
314,5
315,4
316,0
317,1
318,4
319,1
320,4
321,1
322,1
323,1
324,0
325,0
326,1
327,0
328,4
329,2
330,4
331,3
332,3
333,2
334,0
335,3
336,5
337,4
338,5
339,3
340,1
341,0
342,3
343,2
344,3
345,5
346,0
347,5
348,1
349,5
350,1
351,2
352,2
353,4
354,5
355,3
356,3
357,3
358,1
359,1
360,3
361,0
362,5
363,0
364,1
365,4
366,5
367,2
368,0
369,4
370,5
371,4
372,5
373,5
374,5
375,5
376,3
377,2
378,0
379,2
380,4
381,4
382,5
383,4
384,5
385,1
386,5
387,2
388,5
389,2
390,2
391,3
392,3
393,4
394,3
395,0
396,2
397,1
398,0
399,2
400,4
401,5
402,0
403,1
404,4
405,0
406,2
407,4
408,1
409,5
410,1
411,4
412,5
413,1
414,5
415,4
416,3
417,5
418,0
419,1
420,3
421,4
422,2
423,2
424,1
425,0
426,3
427,2
428,1
429,0
430,5
431,5
432,4
433,4
434,1
435,4
436,1
437,2
438,1
439,1
440,4
441,3
442,5
443,0
444,1
445,2
446,4
447,1
448,0
449,5
450,5
451,3
452,0
453,5
454,5
455,5
456,2
457,2
458,0
459,1
460,3
461,2
462,2
463,2
464,4
465,3
466,0
467,4
468,5
469,1
470,1
471,5
472,5
473,2
474,2
475,5
476,2
477,3
478,2
479,4
480,4
481,5
482,0
483,4
484,0
485,1
486,0
487,4
488,1
489,1
490,3
491,0
492,3
493,1
494,3
495,3
496,4
497,3
498,0
499,0
500,4
501,1
502,3
503,0
504,3
505,4
506,0
507,5
508,5
509,3
510,3
511,2
512,4
513,5
514,2
515,0
516,4
517,5
518,1
519,0
520,3
521,0
522,5
523,4
524,3
525,2
526,5
527,5
528,2
529,2
530,4
531,1
532,1
